id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,05B0LcnR
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,gHJMlhb1
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,2RcFOatY
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,bZlsGgv5
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,xumY6w8R
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,n1zf7HyL
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,WpF9oqoW
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,fAu7KvBq
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,68pP01UZ
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,oQvr8m5G
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,vg3bupYj
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,m8yX34yd
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,gQDd80z8
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,njsS194X
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,g7SYWQzO
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,8cmqKmSH
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,49s7SLMp
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,3UWbRelD
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,ej1dms9Q
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,XrTgFci1
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,0h3KS85t
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,7EGaK4iu
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,I2yNYudq
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,qDKS90yX
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,AnA71Byw
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,6pZZCU5J
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,apYo611y
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,N1jvZHE7
