id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,pw5feqCf
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,kkLk64n0
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,E5WLNBmj
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,bmEa8bYc
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,15dkiAV5
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,DQQ0rBE4
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,7chnO8B2
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,HNcvyc0Y
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,9x7cf7HI
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,d71cQ35I
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,dqOcW7H4
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,sd855WOH
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,0676B23j
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,BxprG47P
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,in69QJ04
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,MeaK33J0
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,FWbEz8PA
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,Y7Gxn94V
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,9c7X558P
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,O86Ccatp
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,71uZ7I44
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,pEjGT5BR
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,uDfO7Oc0
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,IYIAf41p
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,A0L4Ld51
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,140Wi3BH
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,eLMe44j3
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,7HibFo4y
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,xihg7QT1
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,1CDRdm48
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,I3aQgQQ6
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,xs3Pte0V
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,vZKwX70l
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,zG6w1RlP
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,HV52i0YI
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,6H265vh5
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,s4JUa6Xq
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,tU54p0gz
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,HSc1Ub89
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,SRkw18D1
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,MPQi8g93
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,N9n2cdtS
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,71gTfi9A
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,B6dT8V84
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,N6x64Z9m
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,j17X2Cej
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,moVz3TWP
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,76FnO696
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,6PpG8c91
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,0f8E04Ya
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,2BwHeeFk
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,qZdTD1sE
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,5s8v4UFi
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,MXB8l6tX
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,3lJt6Tep
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,uTl0KH8b
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,pHZ2JBH4
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,4m8VlyGr
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,7ko8VC4Z
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,SutM1E78
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,l3X62ppX
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,4EWa2uaM
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,BfxBC0Oe
67,Остюков Артур Романович,329,11и,3,Остюков_АР,y4hNlN6Z
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,wh7o9bVX
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,Fr504Bj5
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,z7J2indj
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,xLFKDw7a
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,Wq7urF5s
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,0iLzTN9C
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,96uZ0KqC
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,21fSu33x
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,arj6V5Cf
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,32K687zd
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,64iGgsQu
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,0GV1QBjw
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,59utO4tw
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,dvU3fUa7
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,ft8UYTdb
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,9B5Cy5tU
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,7IE4tTOG
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,T0e16cG7
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,j3Bn094U
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,Sv2oi8Q8
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,p7cMAGeb
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,8HIE2Kpw
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,FnwP4e9R
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,LUk5ki4r
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,KlOX9Aa4
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,r038nOC7
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,Q16gG9T7
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,c6j2U1dD
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,nxY8S7Ni
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,zKOT02P0
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,Le38Cn6R
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,0Dv76YCe
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,fA8h0Y95
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,o221o05X
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,99OFQy0T
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,cAfibQ54
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,bPw9xT3w
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,5hW31zx1
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,n3AsPxj4
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,n814C5aD
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,EnF6v8hJ
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,2tFwQvyD
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,2IHi818J
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,1Dxc03sP
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,3zu190HV
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,W8vtjhCc
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,b6PqC6t2
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,U478hmM7
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,yl0gA78V
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,JO1q86K2
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,62lvJ44U
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,1voE0VqQ
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,U97Nv3wB
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,1cuLYW1q
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,z6k0L6r4
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,nm8pvWP0
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,5hyQ6Z4w
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,70FyVo4x
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,pKb6fPrt
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,3Th8G34t
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,0VQg01Ix
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,4Ykt23lA
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,3WPgN1ow
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,W11GHB8r
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,2fEmYzIN
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,25JkW00v
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,bN8K6tZ0
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,wC8kz1lU
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,87PnO2Ey
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,gHd9Opny
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,OwXXeGt1
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,BrP00L6e
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,zf95u0TO
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,kdC92D41
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,ZbuZi50X
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,mR429rly
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,449ZIgS4
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,aQbTp4AW
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,R5Xw3z9t
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,s1H8ut5m
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,KM3L4pCV
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,60m11Gq3
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,K4nRMWIi
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,I6fieE6F
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,aAqK9n8c
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,9JSP4W0r
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,sG9tXwyB
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,44fi3GvA
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,3HGQf1wK
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,WSC7zFr4
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,45BNHtLi
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,MCmV33yy
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,9X6Qxs24
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,slzY0WUu
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,HaWhKAZ6
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,XKRn7Fb9
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,6wu1jaXl
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,UfY527d5
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,SWnN00X0
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,SIHu86pF
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,11iE48eB
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,f7JyyFEB
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,Y0WA7ODo
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,EDOQ4Md7
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,6bSHav1q
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,9IrTm1rx
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,9Ig8wlpZ
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,QoBU3z2n
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,OC7v3V57
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,xXShyUW0
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,BwU290wj
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,0a88QxXn
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,5A4n8675
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,mKb9rry9
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,8jwga7TR
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,6PCBnqvZ
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,4c5XqNRC
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,Z4L9mWSK
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,sWQhHAQ0
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,gx7V13cw
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,951fGV6a
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,h5QiBAi9
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,22e28r1Y
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,ET40YCxv
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,K9wfnYo5
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,bazOw7i4
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,Hn2bM39N
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,Ezoa4do2
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,vqa4U447
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,0JGo2n11
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,Ev42Fa5q
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,9pS7vssq
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,9gz3SgX0
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,8kNuIWcK
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,83oFn9r1
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,Eg3M5kpO
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,7k6KIE2M
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,02j084IK
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,61sp0E17
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,Bo7si6cw
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,WpQ5O85m
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,v1phFOa3
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,YtYl79l7
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,99ZePG32
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,u3PS523r
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,F68skXH5
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,zYj88EtZ
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,2ToEE3yl
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,lj0OvI8B
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,UTnf9aa1
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,2lU67Rlc
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,nMdEe4RR
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,T6cef085
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,M89WVk28
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,DN1h8mRm
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,ucVz5EjX
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,QLS4n6V6
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,Y1dqm05Z
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,0703sg2I
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,36e4S0gq
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,z65G8RyW
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,G91F2mmr
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,6q1Er78P
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,p3K6406S
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,Hct53T68
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,9WUyB4dI
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,98w9Sv0b
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,j2Jh2gb9
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,0BHK341t
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,RV1Qhwjb
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,Zo9DVK2c
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,u02i4rF0
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,tSi4Cn5D
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,nXUow5B1
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,DHpX32Bo
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,5YAgZetZ
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,41Euifl9
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,5SY8CgW1
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,zbO4229S
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,xGNXB329
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,auoy3J94
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,YhG0Jlfu
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,mNVc03Yq
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,gBEP42X4
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,WiR6vtJ8
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,2SngCVke
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,7irU786L
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,8Fcsg4AP
278,Углова Галина Романовна,260,9г,3,Углова_ГР,77sLhL53
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,G6LjIPuw
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,gkbY72pg
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,5T1yUKPa
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,N0l7LeqN
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,ip16S77m
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,SJ31QACc
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,8DCk0uWv
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,ThV53YFn
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,Lh8Q949w
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,fB0z1Lz9
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,34Mi1I32
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,7U7ZsDX5
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,nGl3tX6F
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,lC0h2EUS
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,M6udH2q5
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,AAM6QiJi
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,70w15oEM
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,Xm73m9L5
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,2AI2xo71
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,54UMypgj
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,Ljxlmp1p
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,vz1NzrNv
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,od1A8DL3
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,rs46Okb8
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,jy05G7OI
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,Tlie6608
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,q8Abhs0i
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,tTXr9L2A
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,ys163Nq8
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,xC41lV73
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,8524SuZJ
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,QEp2L5Bo
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,sZcbX26k
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,B84sArk0
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,403oy8lN
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,e19DDb7e
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,Wjq2XiD4
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,jxww0IwB
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,vFy5uqYT
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,K9WXlhT1
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,3CQGO9Mi
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,FsQR6B13
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,I37Px39t
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,IAS3ApKl
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ,
326,Саюшкин Игорь Алексиевич,211,11х,5,Саюшкин_ИА,cr5Y545N
327,Потешных Тамара Николаевна,468,11в,3,Потешных_ТН,A478Gc1v
328,Незлина Жанна Василевна,426,8б,5,Незлина_ЖВ,mGVeqL7n
329,Федичева Вероника Кирилловна,37,7х,4,Федичева_ВК,u2WhMwrX
330,Пустынкин Вадим Антонович,388,10в,5,Пустынкин_ВА,iJfP0eUB
